alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,bayes_rank,run_label,run_id,model_variant,language_english_factor_cli,language_euro_latin_factor_cli,language_other_factor_cli,bayes_draws_cli,bayes_tune_cli,bayes_target_accept_cli,bayes_seed_cli,bayes_hdi_prob_cli
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,unknown,,15.36282931178519,15.11194764009042,15.587774802432527,4745586.454034283,3656250.511698277,5884161.585745037,0.0,0.0,0.0,0.9,1.05,92.0,20,4,4,12,-2.178943979214161,-2.294810458587157,-2.054201887357474,5,95,1.0,13.900796422998402,2.8354724934856366,5.409545609622058,5.270156919486265,5.539901221707814,0.6787887,0.2832404461542748,3.3045810385805705,3.1319155408790182,3.4594555512533307,8.722766647297384,0.7868838870640574,3.2880348893404228,3.1732802429808737,3.3974809531865704,21.065634938547873,0.92,8.976057949814678,2.5268587623439647,0.8516131904008426,0.32189158614284125,228,bayes-distance-smoke,bayes-distance-smoke_20251220T234458Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
USA,['English'],340110988,38.0,-97.0,93.1444,2023,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,unknown,,12.26203689705918,12.080920393634326,12.44047556405215,212714.65885590113,176472.7112909057,252830.75094044604,0.0,0.0,0.0,0.9,1.05,92.0,20,4,4,12,-2.178943979214161,-2.294810458587157,-2.054201887357474,5,95,1.0,13.900796422998402,2.8354724934856366,5.409545609622058,5.270156919486265,5.539901221707814,0.6787887,0.2832404461542748,3.3045810385805705,3.1319155408790182,3.4594555512533307,8.722766647297384,0.7868838870640574,3.2880348893404228,3.1732802429808737,3.3974809531865704,19.64478255760019,0.931444,8.850753199570008,2.025759780000802,0.892017024512044,0.1626498577193576,228,bayes-distance-smoke,bayes-distance-smoke_20251220T234458Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,unknown,,9.862104965449396,9.704510739161986,10.005368049596663,19271.131893135163,16391.39386440174,22145.02290773819,0.0,0.0,0.0,0.9,1.05,92.0,20,4,4,12,-2.178943979214161,-2.294810458587157,-2.054201887357474,5,95,1.0,13.900796422998402,2.8354724934856366,5.409545609622058,5.270156919486265,5.539901221707814,0.6787887,0.2832404461542748,3.3045810385805705,3.1319155408790182,3.4594555512533307,8.722766647297384,0.7868838870640574,3.2880348893404228,3.1732802429808737,3.3974809531865704,18.79931116770503,0.94365,8.628345903506958,1.7275832355844518,0.9351111523660568,-0.11999323577805023,228,bayes-distance-smoke,bayes-distance-smoke_20251220T234458Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
GBR,['English'],69281437,54.0,-2.0,96.2988,2023,0.0,7.840616887015905,0.962988,1.25,1.0,0.75,1.25,False,7.550419974793672,9.43802496849209,7.550419974793672,7.550419974793672,4,False,United Kingdom,,25-05-2025,unknown,,-27.388774679568222,-28.636659126318428,-26.118712507530947,3.0611536224385586e-09,3.061153622438558e-09,3.061153622438558e-09,3.0611536130678968e-09,3.0611536130678963e-09,3.0611536130678963e-09,0.9,1.05,92.0,20,4,4,12,-2.178943979214161,-2.294810458587157,-2.054201887357474,5,95,1.0,13.900796422998402,2.8354724934856366,5.409545609622058,5.270156919486265,5.539901221707814,0.6787887,0.2832404461542748,3.3045810385805705,3.1319155408790182,3.4594555512533307,8.722766647297384,0.7868838870640574,3.2880348893404228,3.1732802429808737,3.3974809531865704,18.053687563920203,0.962988,0.0,1.4646204999212198,1.0033852998706367,-11.085201756821961,192,bayes-distance-smoke,bayes-distance-smoke_20251220T234458Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,5,False,Saudi Arabia,,25-05-2025,unknown,,7.364335394655395,7.2117859676228395,7.505619389558133,1585.4924053538532,1355.3108195085954,1818.2324544475987,0.0,0.0,0.0,0.9,1.05,92.0,20,4,4,12,-2.178943979214161,-2.294810458587157,-2.054201887357474,5,95,1.0,13.900796422998402,2.8354724934856366,5.409545609622058,5.270156919486265,5.539901221707814,0.6787887,0.2832404461542748,3.3045810385805705,3.1319155408790182,3.4594555512533307,8.722766647297384,0.7868838870640574,3.2880348893404228,3.1732802429808737,3.3974809531865704,17.3794014538834,1.0,8.521541289295833,1.2268167082829855,1.1340587277038934,-0.25572433405942907,228,bayes-distance-smoke,bayes-distance-smoke_20251220T234458Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,6,False,"Korea, Republic of",,25-05-2025,unknown,,10.171597671908101,10.01900655324821,10.312820918974806,26246.769378350604,22449.1683317378,30116.27345335985,0.0,0.0,0.0,0.9,1.05,92.0,20,4,4,12,-2.178943979214161,-2.294810458587157,-2.054201887357474,5,95,1.0,13.900796422998402,2.8354724934856366,5.409545609622058,5.270156919486265,5.539901221707814,0.6787887,0.2832404461542748,3.3045810385805705,3.1319155408790182,3.4594555512533307,8.722766647297384,0.7868838870640574,3.2880348893404228,3.1732802429808737,3.3974809531865704,17.750466365008762,0.978956,9.082707514537592,1.3576819915745237,1.059761429116326,0.45742564202602226,228,bayes-distance-smoke,bayes-distance-smoke_20251220T234458Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
DEU,['German'],83491249,51.0,9.0,93.5,2024,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,7,False,Germany,,25-05-2025,unknown,,0.6542388930699219,0.3515394725185186,0.9520130029680541,1.9605084368585333,1.421253917518787,2.590919944298333,0.2754859298757751,0.1941921899257684,0.3431064824304368,0.9,1.05,92.0,20,4,4,12,-2.178943979214161,-2.294810458587157,-2.054201887357474,5,95,1.0,13.900796422998402,2.8354724934856366,5.409545609622058,5.270156919486265,5.539901221707814,0.6787887,0.2832404461542748,3.3045810385805705,3.1319155408790182,3.4594555512533307,8.722766647297384,0.7868838870640574,3.2880348893404228,3.1732802429808737,3.3974809531865704,18.24025238193372,0.935,6.704146221648854,1.5304172298990768,0.9045717286451647,-2.565334554225281,26,bayes-distance-smoke,bayes-distance-smoke_20251220T234458Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,8,False,Malaysia,,25-05-2025,unknown,,10.480219479218295,10.319371562407044,10.634507060540626,35748.63951639501,30314.201389503538,41543.94669161632,0.0,0.0,0.0,0.9,1.05,92.0,20,4,4,12,-2.178943979214161,-2.294810458587157,-2.054201887357474,5,95,1.0,13.900796422998402,2.8354724934856366,5.409545609622058,5.270156919486265,5.539901221707814,0.6787887,0.2832404461542748,3.3045810385805705,3.1319155408790182,3.4594555512533307,8.722766647297384,0.7868838870640574,3.2880348893404228,3.1732802429808737,3.3974809531865704,17.348662673310546,0.980206,9.336528361490286,1.2159759116808408,1.064174640636686,0.7799901920509629,228,bayes-distance-smoke,bayes-distance-smoke_20251220T234458Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,9,False,Spain,,25-05-2025,unknown,,2.635305315220027,2.409351978628681,2.869183861070571,14.101677833803397,11.126748916015755,17.622665898761806,4.9264330481504645e-05,3.916338562894522e-07,0.00016371351414025512,0.9,1.05,92.0,20,4,4,12,-2.178943979214161,-2.294810458587157,-2.054201887357474,5,95,1.0,13.900796422998402,2.8354724934856366,5.409545609622058,5.270156919486265,5.539901221707814,0.6787887,0.2832404461542748,3.3045810385805705,3.1319155408790182,3.4594555512533307,8.722766647297384,0.7868838870640574,3.2880348893404228,3.1732802429808737,3.3974809531865704,17.713758095822914,0.957575,7.355600266359302,1.3447359061266193,0.984274328702869,-1.737443609423897,152,bayes-distance-smoke,bayes-distance-smoke_20251220T234458Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,10,False,Australia,,25-05-2025,unknown,,11.201252222558653,11.029044957010143,11.349873377515378,73586.84443302876,61638.68508744262,84954.69367020782,0.0,0.0,0.0,0.9,1.05,92.0,20,4,4,12,-2.178943979214161,-2.294810458587157,-2.054201887357474,5,95,1.0,13.900796422998402,2.8354724934856366,5.409545609622058,5.270156919486265,5.539901221707814,0.6787887,0.2832404461542748,3.3045810385805705,3.1319155408790182,3.4594555512533307,8.722766647297384,0.7868838870640574,3.2880348893404228,3.1732802429808737,3.3974809531865704,17.131036537197033,0.970631,9.635180726298632,1.1392246342082155,1.030369440390727,1.1595282277358054,228,bayes-distance-smoke,bayes-distance-smoke_20251220T234458Z,no-language,1.25,1.0,0.75,50,50,0.9,0,0.9
